"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"84","4_214_7",0,0.192748236267525,0.0522553161617729,0.0522553161617729,0.444763164640265,0.981759581704677,0.960052028602773,0.293708017499709,0.726919004343841,0.433699996345556,0.664142725130824,0.362715648434436,0.016974818292141,0.690908501870954,0.828615917088581,0.784593847609998,0.537509965116207,0.554455837879563,0.0627164943678172,0.280336111355856,0.662514685217265,0.520458894192588,4,25,FALSE
"85","4_214_9",0,0.219241359709061,0.0504360855143492,0.0504360855143492,0.668930031063668,0.914030137728117,0.952917786184204,0.0329252730396991,0.837909194500216,0.0765695580664518,0.525800313726496,0.395911723852724,0.00598067894968444,0.860074754827248,0.790776300666636,0.921428443563776,0.309340988354507,0.365496330379907,0,0.154314471776903,0.32536355228797,0.14983711128868,3,47,FALSE
"86","4_215_4",0,0.197889864833282,0.0517806125594482,0.0517806125594482,0.303106324919302,0.996353642662033,0.931299874248067,0,0.737480220200583,0.362841945476187,0.540843108532031,0.510258050020114,0.0190017756928052,0.984717990550551,0.78748335553382,0.994240633125371,0.283529000819453,0.532291059691671,0.0047245382255423,0.169659210765318,0.397372941800111,0.391854658895873,3,47,FALSE
"87","4_215_6",0,0.212663524294799,0.0506498556048619,0.0506498556048619,0.458014305589354,0.925627330535424,0.955248702202493,0.0506073059795199,0.818100372436292,0.107632898218178,0.556325459381708,0.448117795323384,0.00589739091481264,0.878043637553023,0.77670708111795,0.909098041261737,0.24474733107438,0.732199007806899,0.00124475018500564,0.123687556674345,0.294723184522384,0.203618541904921,3,47,FALSE
"88","4_215_8",0,0.214327411187376,0.0512175577447151,0.0512175577447151,0.465080745678807,0.940204245088306,0.993769316635716,0.0502303579368597,0.97316390562091,0.201044931788304,0,0.624900266438384,0.00908259202082613,0.895472153493684,0.827063244206061,0.99064637729414,0.0758445855233159,0.58268281002364,0.0285542723610233,0.119647385238842,0,0.205520919583541,3,47,FALSE
"89","4_216_3",0,0.232909217890919,0.0499979839250234,0.0499979839250234,0.049780520213038,0.897103631584843,0.958078990451245,0.472979653713324,0.842174865897322,0.104105965968776,0.0248521324134627,0.535534478454744,0,0.996017232957886,0.625539726594671,0.978810807160508,0.0193255367720342,0.842148155277849,0.0345724530209663,0.11502860922322,0.0267281047385886,0.0545169686396506,3,47,TRUE
"90","4_216_5",0,0.232573589293839,0.0504400650002474,0.0504400650002474,0.439853452541793,0.918951060525686,0.899063202364036,0.030163063191795,0.810848041503827,0.137769632410075,0.499019925761881,0.462735823421181,0.0231553091104656,0.891709930084692,0.793049275471836,0.929371470908937,0.227004572915444,0.681755486719935,0.0760734834225294,0.143111957310258,0.312543193853332,0.167489696210132,3,47,FALSE
"91","4_216_6",0,0.197007332294299,0.0523389724315015,0.0523389724315015,0.518254619918718,0.93497428290995,0.943707917375216,0.314938426157783,0.75967415517315,0.384155355949819,0.637274945635459,0.348822314948547,0.0199393441416467,0.867182653683379,0.837116841711268,0.786382278822962,0.499109650577313,0.900311027217882,0.106007781928579,0.162276467243375,0.606080756882825,0.49413139223482,4,25,FALSE
"92","4_217_3",0,0.167288062249466,0.056803711405465,0.056803711405465,0.344013995821994,0.885373681799095,0.924398896318487,0.160397441560344,0.784556267370008,0.530330831748198,0.76616083192829,0.202163821739854,0.0155292366178365,0.570723566084231,0.935888005713098,0.666134701065013,0.648042457279171,0.573669082432854,0.112680912744618,0.360931548601161,0.954529230362039,0.630117276475281,4,25,FALSE
"93","4_217_8",0,0.217579388837275,0.0507027818010913,0.0507027818010913,0.552861507205553,0.938525579487336,0.950981288358603,0.0594452782859014,0.98530959339639,0.194701905378371,0.457627973996024,0.492065911071721,0.0047048350308877,0.883895226318506,0.875605696857392,0.79302968586582,0.214780415815921,0.686146498478588,0.0223911594285014,0.121663430857156,0.505721016112321,0.223396508234943,3,47,FALSE
"94","4_219_5",0,0.230216778334208,0.0503703476593846,0.0503703476593846,0.911378983468472,0.922423688705443,0.998225006429371,0.0691232235538099,0.890270240896564,0.149737921575116,0.725045680975108,0.187598929729876,0.0193919706589299,0.787326151700284,0.863838834653645,0.83139710041361,0.473566597022622,0.743940697026497,0.00877928339778159,0.164705106496353,0.462879316448792,0.162195355653651,3,47,FALSE
"95","4_219_6",0,0.232735396750501,0.05033224087697,0.05033224087697,0.644754160215577,0.976139372252745,0.978099459055621,0.0975040405446436,0.842174865897322,0.0600517955713617,0.370466043496614,0.719821528332084,0.0109577996250335,0.915361991424477,0.625539726594671,0.978810807160508,0.0259942696534471,0.661113344950682,0.00251313535113192,0,0.0267281047385886,0.0639801827509557,3,47,FALSE
"96","4_219_7",0,0.217162805408157,0.0506488982110166,0.0506488982110166,0.181015430660806,1,0.902054984493566,0.0891980614047062,0.7298319784896,0.121290414346523,0.0419884306698968,0.386333759883884,0.000191120341712088,0.786968600940577,0.766600791603722,0.852487893798209,0.0430157383876674,0.923165232219872,0.00988497356483231,0.214372341507031,0.454661300122745,0.166803693555517,3,47,FALSE
"97","4_219_9",0,0.19711523351743,0.0519567995946476,0.0519567995946476,0.518254619918718,0.958924422212575,0.909487376921774,0.0608598113001348,0.788829283453906,0.352556676977892,0.637274945635459,0.348822314948547,0.00569079246062349,0.919851287566759,0.803478869636524,0.879897979943319,0.499109650577313,0.900311027217882,0.0803939970451237,0.205436050806657,0.558042170231412,0.502835252542919,4,25,FALSE
"98","4_220_3",0,0.216472986752042,0.0507662535087587,0.0507662535087587,0.449128438881804,0.978012757270686,0.998967966678736,0.104894984781197,0.958589613943388,0.0062764867937484,0.632111255324761,0.839014021706288,0.0193067111348691,1,0.863846545641492,0.904448219921236,0.312468266299214,0.384250118624398,0.151602211983989,0.191136857559273,0.171214831197412,0.25334200334436,3,47,FALSE
